## These are comments,,,,,,,,,,,,,,,,,,
# Expecting the following format for each row,,,,,,,,,,,,,,,,,,
# Player,character,alt,character,alt,character,alt,character,alt,character,alt,character,alt,,,,,,
# List a character more than once to give that player several costumes for it.
# Prefix an alt with * to mark it preferred (used when a VOD line names no costume).
# With no * the first listed costume wins. Name a costume per set in the VOD line: Mario:5
Watherum,Falco,2,,,,,,,,,,,,,,,,
Spades,Pikachu,3,,,,,,,,,,,,,,,,
Billz,Marth,5,,,,,,,,,,,,,,,,
Tezlik,Marth,2,Sheik,2,,,,,,,,,,,,,,
waly,Falco,1,,,,,,,,,,,,,,,,
RC,Fox,1,,,,,,,,,,,,,,,,
Kogs,Sheik,5,,,,,,,,,,,,,,,,
Fatcop,Dr Mario,1,Marth,5,,,,,,,,,,,,,,
Subtle,Sheik,3,Mr Game and Watch,4,,,,,,,,,,,,,,
Codeman,Pichu,4,Sheik,1,Fox,4,,,,,,,,,,,,
Agent,Fox,2,,,,,,,,,,,,,,,,
McFroob,Captain Falcon,1,,,,,,,,,,,,,,,,
Mr. Rolo,Falco,4,Random,1,,,,,,,,,,,,,,
Pig,Jigglypuff,3,,,,,,,,,,,,,,,,
Bex D,Fox,1,,,,,,,,,,,,,,,,
wcbq,Roy,3,Fox,4,,,,,,,,,,,,,,
LittleBroBusba,Mario,1,,,,,,,,,,,,,,,,
scout,Sheik,2,,,,,,,,,,,,,,,,
Average Alex,Marth,1,Sheik,1,,,,,,,,,,,,,,
alright,Samus,2,Falco,4,Sheik,5,,,,,,,,,,,,
PRIONBOIL,Fox,4,,,,,,,,,,,,,,,,
Jlyn,Peach,4,,,,,,,,,,,,,,,,
Grunk,Jigglypuff,2,Fox,3,,,,,,,,,,,,,,
Cakebutts,Falco,1,,,,,,,,,,,,,,,,
Pho Shiz,Peach,2,,,,,,,,,,,,,,,,
ZeeBee,Jigglypuff,4,Falco,3,,,,,,,,,,,,,,
iBeBlowinDudes,Random,1,,,,,,,,,,,,,,,,
Monty,Captain Falcon,5,Fox,1,,,,,,,,,,,,,,
iBeBlowinDudes,Ice Climbers,3,Marth,4,Fox,4,,,,,,,,,,,,
Maddy,Fox,1,Sheik,5,,,,,,,,,,,,,,
Full Synchro,Marth,1,,,,,,,,,,,,,,,,
VOx,Jigglypuff,4,,,,,,,,,,,,,,,,
Hotel Pneumario,Samus,4,,,,,,,,,,,,,,,,
OCULUS,Fox,4,,,,,,,,,,,,,,,,
Crowbar,Falco,2,Captain Falcon,5,,,,,,,,,,,,,,
ShoePak,Fox,4,Falco,3,,,,,,,,,,,,,,
wcbq,Roy,3,,,,,,,,,,,,,,,,
Minerva,Sheik,5,,,,,,,,,,,,,,,,
